angle,ldr0,ldr1,ldr2,ldr3,ldr4,ldr5
45.0,131.0,4.0,29.0,25.0,5.0,11.0
45.0,130.0,4.0,28.0,25.0,5.0,11.0
45.0,130.0,3.0,29.0,25.0,6.0,11.0
45.0,130.0,4.0,29.0,25.0,5.0,11.0
45.0,130.0,4.0,28.0,25.0,5.0,11.0
45.0,130.0,4.0,29.0,25.0,5.0,11.0
45.0,130.0,4.0,29.0,25.0,5.0,11.0
45.0,130.0,4.0,28.0,25.0,5.0,11.0
45.0,130.0,4.0,28.0,25.0,5.0,11.0
45.0,130.0,3.0,28.0,25.0,5.0,11.0
45.0,130.0,4.0,29.0,25.0,6.0,11.0
45.0,131.0,4.0,28.0,25.0,5.0,11.0
45.0,132.0,4.0,29.0,25.0,5.0,11.0
45.0,131.0,4.0,29.0,25.0,6.0,11.0
45.0,132.0,4.0,29.0,24.0,5.0,11.0
45.0,132.0,3.0,28.0,25.0,5.0,10.0
50.0,131.0,3.0,29.0,25.0,5.0,10.0
50.0,131.0,4.0,29.0,25.0,5.0,11.0
50.0,131.0,3.0,28.0,24.0,5.0,10.0
50.0,131.0,3.0,29.0,25.0,5.0,11.0
50.0,131.0,4.0,29.0,24.0,5.0,11.0
50.0,131.0,3.0,28.0,24.0,5.0,11.0
50.0,131.0,3.0,28.0,25.0,6.0,11.0
50.0,131.0,3.0,28.0,24.0,5.0,11.0
50.0,131.0,3.0,28.0,25.0,5.0,11.0
50.0,131.0,4.0,29.0,24.0,5.0,11.0
50.0,131.0,4.0,28.0,25.0,5.0,11.0
50.0,131.0,4.0,29.0,25.0,5.0,11.0
50.0,131.0,3.0,28.0,25.0,5.0,11.0
50.0,131.0,3.0,28.0,25.0,5.0,11.0
50.0,131.0,3.0,28.0,25.0,5.0,11.0
50.0,131.0,4.0,28.0,25.0,6.0,11.0
55.0,150.0,4.0,30.0,25.0,5.0,11.0
55.0,154.0,4.0,31.0,23.0,5.0,12.0
55.0,158.0,4.0,31.0,23.0,5.0,11.0
55.0,161.0,4.0,31.0,24.0,5.0,11.0
55.0,161.0,3.0,31.0,23.0,5.0,11.0
55.0,161.0,4.0,31.0,23.0,5.0,11.0
55.0,161.0,4.0,31.0,23.0,5.0,11.0
55.0,161.0,4.0,31.0,23.0,5.0,11.0
55.0,161.0,4.0,31.0,23.0,5.0,11.0
55.0,161.0,4.0,31.0,23.0,4.0,12.0
55.0,161.0,4.0,31.0,23.0,5.0,11.0
55.0,161.0,4.0,31.0,23.0,5.0,12.0
55.0,161.0,4.0,31.0,23.0,4.0,12.0
55.0,161.0,4.0,31.0,23.0,4.0,11.0
55.0,161.0,4.0,31.0,23.0,5.0,11.0
55.0,161.0,5.0,31.0,23.0,4.0,12.0
60.0,173.0,5.0,35.0,23.0,5.0,28.0
60.0,174.0,7.0,39.0,23.0,5.0,15.0
60.0,175.0,9.0,37.0,22.0,6.0,16.0
60.0,175.0,9.0,37.0,23.0,6.0,16.0
60.0,174.0,9.0,36.0,22.0,6.0,17.0
60.0,175.0,9.0,37.0,21.0,6.0,16.0
60.0,174.0,9.0,37.0,22.0,6.0,17.0
60.0,175.0,9.0,37.0,22.0,6.0,17.0
60.0,175.0,9.0,37.0,22.0,6.0,16.0
60.0,174.0,10.0,37.0,22.0,6.0,16.0
60.0,174.0,9.0,37.0,23.0,6.0,16.0
60.0,175.0,8.0,36.0,22.0,6.0,17.0
60.0,175.0,10.0,36.0,23.0,5.0,17.0
60.0,174.0,9.0,37.0,23.0,6.0,17.0
60.0,174.0,8.0,37.0,23.0,6.0,17.0
60.0,174.0,10.0,36.0,23.0,6.0,17.0
65.0,156.0,19.0,47.0,23.0,8.0,15.0
65.0,146.0,33.0,55.0,23.0,11.0,21.0
65.0,149.0,43.0,67.0,23.0,11.0,10.0
65.0,145.0,39.0,59.0,23.0,10.0,10.0
65.0,145.0,37.0,58.0,23.0,10.0,10.0
65.0,146.0,37.0,58.0,23.0,11.0,11.0
65.0,146.0,37.0,58.0,23.0,11.0,11.0
65.0,146.0,38.0,58.0,23.0,11.0,11.0
65.0,146.0,38.0,58.0,23.0,10.0,11.0
65.0,146.0,38.0,58.0,23.0,11.0,10.0
65.0,145.0,38.0,58.0,23.0,10.0,10.0
65.0,146.0,38.0,58.0,23.0,10.0,11.0
65.0,146.0,38.0,58.0,23.0,11.0,10.0
65.0,145.0,38.0,58.0,23.0,10.0,11.0
65.0,145.0,38.0,58.0,23.0,11.0,10.0
65.0,146.0,38.0,58.0,23.0,10.0,11.0
70.0,160.0,62.0,55.0,24.0,16.0,23.0
70.0,170.0,96.0,71.0,25.0,27.0,9.0
70.0,179.0,118.0,94.0,25.0,37.0,9.0
70.0,180.0,122.0,100.0,26.0,37.0,9.0
70.0,180.0,121.0,100.0,25.0,37.0,9.0
70.0,179.0,122.0,99.0,26.0,37.0,9.0
70.0,179.0,166.0,99.0,26.0,37.0,9.0
70.0,179.0,122.0,100.0,0.0,37.0,9.0
70.0,179.0,122.0,100.0,26.0,38.0,9.0
70.0,179.0,121.0,100.0,26.0,37.0,9.0
70.0,179.0,121.0,100.0,26.0,37.0,9.0
70.0,179.0,120.0,98.0,26.0,36.0,9.0
70.0,178.0,118.0,93.0,25.0,35.0,9.0
70.0,178.0,118.0,94.0,26.0,34.0,10.0
70.0,178.0,118.0,94.0,26.0,35.0,10.0
70.0,178.0,118.0,94.0,26.0,35.0,10.0
75.0,186.0,128.0,104.0,56.0,47.0,9.0
75.0,190.0,142.0,107.0,28.0,62.0,0.0
75.0,191.0,153.0,96.0,29.0,70.0,9.0
75.0,193.0,160.0,85.0,28.0,73.0,8.0
75.0,192.0,160.0,87.0,28.0,73.0,9.0
75.0,193.0,160.0,87.0,28.0,72.0,9.0
