angle,ldr0,ldr1,ldr2,ldr3,ldr4,ldr5
45,457,12,4,32,11,15
45,454,12,4,32,11,15
45,454,12,5,62,11,15
45,454,12,4,32,11,15
45,456,12,5,33,11,15
45,454,11,4,57,12,15
45,454,12,4,32,11,14
45,549,12,4,32,11,15
45,454,12,5,16,11,14
45,454,11,5,32,11,15
45,549,12,5,32,12,15
45,454,12,5,32,11,23
45,454,12,29,32,11,15
45,550,12,4,32,11,15
45,454,12,4,32,11,16
45,454,12,10,32,11,15
50,456,12,4,32,11,15
50,454,12,4,33,8,15
50,454,12,5,40,11,15
50,454,13,5,32,11,14
50,550,11,5,32,11,14
50,454,12,5,32,11,15
50,454,12,6,32,12,15
50,542,12,4,32,11,15
50,454,12,5,32,11,48
50,454,12,63,32,11,15
50,550,12,4,32,11,15
50,454,12,4,32,11,20
50,454,12,24,33,11,15
50,550,11,4,32,11,15
50,454,12,5,33,11,15
50,454,12,8,32,11,15
55,565,38,4,33,11,15
55,502,12,4,34,10,15
55,459,12,4,35,10,15
55,456,13,4,36,10,15
55,455,13,5,35,11,15
55,455,13,5,35,11,15
55,455,13,4,35,11,14
55,455,12,5,35,11,15
55,455,13,4,35,11,15
55,455,13,5,35,10,15
55,455,13,4,35,11,15
55,455,13,5,35,11,14
55,455,13,5,35,11,15
55,454,13,5,35,10,15
55,455,13,4,35,11,15
55,455,13,5,35,10,15
60,399,14,23,37,12,15
60,528,19,5,39,16,15
60,473,28,6,41,21,14
60,477,29,6,41,21,15
60,477,29,5,40,20,15
60,476,30,5,41,21,15
60,476,29,5,40,21,15
60,476,29,5,41,21,15
60,477,29,5,41,20,15
60,477,29,5,40,21,15
60,477,29,5,40,21,15
60,477,29,5,41,21,14
60,477,29,6,41,21,15
60,477,29,5,41,21,15
60,476,30,6,41,21,15
60,477,29,5,41,21,15
65,496,53,23,44,65,14
65,514,89,6,47,60,15
65,524,105,6,48,63,15
65,525,100,7,48,61,15
65,523,100,7,48,61,14
65,523,100,6,141,62,15
65,523,100,6,48,61,14
65,523,101,22,47,61,15
65,523,100,6,47,61,15
65,523,100,6,28,62,15
65,523,100,6,48,61,15
65,532,100,6,47,48,15
65,523,100,6,48,61,15
65,523,101,6,48,62,15
65,523,101,7,47,61,15
65,523,100,6,48,62,15
70,485,192,7,53,119,13
70,446,268,7,57,175,14
70,443,273,8,59,192,14
70,443,272,7,59,185,13
70,443,272,7,59,185,14
